interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
1,2022-08-20,14:58:00,Male,21,Senior,LA Area,5,Male,21,Senior,LA Area,Close friend,More than once a week,Male,21,Senior,LA Area,Close friend,Once a week,Female,21,Senior,Bay Area,Friend,Once a week,Male,21,Senior,LA Area,Close friend,Once a week,Female,21,Senior,Rest of World,Friend,Once a month
2,2022-09-01,15:16:00,Female,21,Senior,Rest of United States,5,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,Once a week,Female,21,Senior,Bay Area,Close friend,More than once a week
NA,2022-09-03,15:32:00,Male,21,Senior,Rest of California,5,Female,50,Other,Rest of World,Close friend,More than once a week,Male,51,Other,Rest of World,Close friend,Once a week,Male,21,Senior,Rest of United States,Close friend,More than once a week,Male,20,Senior,Rest of California,Close friend,More than once a week,NA,NA,NA,NA,NA,NA
3,2022-09-03,17:30:00,Male,22,Other,LA Area,5,Male,21,Senior,Bay Area,Close friend,More than once a week,Male,22,Senior,Bay Area,Close friend,More than once a week,Male,22,Other,Bay Area,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,Once a week,Female,20,Junior,LA Area,Close friend,Once a week
1,2022-09-04,22:30:00,Male,21,Senior,Rest of United States,5,Male,21,Senior,Rest of United States,Close friend,More than once a week,Female,22,Other,Rest of United States,Close friend,Once a week,Male,21,Senior,Rest of United States,Close friend,Once a month,Female,21,Senior,Bay Area,Close friend,Once a week,Male,21,Senior,Rest of United States,Close friend,Once a month
1,2022-08-30,14:56:00,Male,22,Senior,Bay Area,5,Female,61,Other,Rest of World,Close friend,More than once a week,Male,26,Other,Bay Area,Close friend,More than once a week,Male,35,Other,Bay Area,Close friend,Once a week,Male,21,Senior,Bay Area,Close friend,Once a week,Male,62,Other,Rest of World,Close friend,Once a week
2,NA,22:44:00,Female,22,Senior,Rest of World,6+,Female,52,Other,Rest of World,Close friend,Once a week,Female,24,Other,Rest of World,Close friend,More than once a week,Male,53,Other,Rest of World,Close friend,Once a week,Female,22,Senior,Rest of World,Close friend,Once a week,Female,22,Senior,NA,Close friend,Once a week
3,2022-09-04,00:31:00,Female,22,Junior,Rest of World,6+,Female,20,Freshman,Rest of World,Close friend,More than once a week,Female,22,Other,Rest of World,Close friend,More than once a week,Female,51,Other,Rest of World,Close friend,More than once a week,Female,22,Senior,Rest of United States,Close friend,More than once a week,Female,23,Other,Rest of World,Close friend,More than once a week
1,2022-08-30,15:05:00,Male,21,Senior,Rest of California,5,Female,50,Other,Rest of California,Close friend,More than once a week,Male,22,Senior,Rest of California,Friend,More than once a week,Male,21,Senior,Rest of California,Friend,More than once a week,Male,21,Senior,Rest of California,Friend,More than once a week,Male,52,Other,Rest of California,Close friend,More than once a week
2,2022-09-03,11:50:00,Female,34,Other,Rest of California,5,Female,33,Other,Rest of California,Friend,More than once a week,Female,33,Other,Rest of United States,Friend,More than once a week,Female,31,Other,Rest of California,Friend,More than once a week,Female,75,Other,Rest of California,Close friend,More than once a week,Male,77,Other,Rest of California,Close friend,More than once a week
